Primary_Organization,Participant_Name,Subordinate_Organization,Type,Sub_Type,Participant_ID,Request_for_Information,Information_Delivery,Requests_for_Notification_of_ADT_Events,City,County_Name,Geo_Point
County of Ventura,County of Ventura,Ventura County Human Services Agency,Counties,County welfare or social services department,DXF000062,NONE SELECTED,NONE SELECTED,NONE SELECTED,ventura,Ventura,"34.2846, -119.22222"
County of Ventura,County of Ventura,Ventura County Behavioral Health Department,Counties,Behavioral health provider,DXF000062,NONE SELECTED,NONE SELECTED,NONE SELECTED,ventura,Ventura,"34.2846, -119.22222"
County of Ventura,County of Ventura,Ventura County Public Health Department Laboratory,Counties,Department of public health,DXF000062,NONE SELECTED,NONE SELECTED,NONE SELECTED,ventura,Ventura,"34.2846, -119.22222"
County of Ventura,County of Ventura,Ventura County Area Agency on Aging,Counties,County welfare or social services department,DXF000062,NONE SELECTED,NONE SELECTED,NONE SELECTED,ventura,Ventura,"34.2846, -119.22222"
County of Ventura,County of Ventura,Ventura County Medical Center,Counties,Other county service,DXF000062,NONE SELECTED,NONE SELECTED,NONE SELECTED,ventura,Ventura,"34.2846, -119.22222"
County of Ventura,County of Ventura,Ventura County Public Health Department,Counties,Department of public health,DXF000062,NONE SELECTED,NONE SELECTED,NONE SELECTED,ventura,Ventura,"34.2846, -119.22222"
County of Ventura,County of Ventura,Ventura County Health Care Plan,Counties,Other county service,DXF000062,NONE SELECTED,NONE SELECTED,NONE SELECTED,ventura,Ventura,"34.2846, -119.22222"
Alpine County Health Department,Alpine County Health Department,none identified,not selected,not selected,DXF000063,NONE SELECTED,NONE SELECTED,NONE SELECTED,Markleeville,Alpine,"38.75366, -119.83344"
Erick Madrigal MD MBA INC,Erick Madrigal MD MBA INC,Erick Madrigal MD MBA INC,Ambulatory Care Settings,not selected,DXF000064,NONE SELECTED,NONE SELECTED,NONE SELECTED,Visalia,Tulare,"36.29923, -119.381"
Erick Madrigal MD MBA INC,Erick Madrigal MD MBA INC,Erick Madrigal MD MBA INC,Ambulatory Care Settings,not selected,DXF000064,NONE SELECTED,NONE SELECTED,NONE SELECTED,Lindsay,Tulare,"35.98376, -118.87178"
bear valley community hospital,bear valley community hospital,none identified,Acute Care Settings,not selected,DXF000065,NONE SELECTED,NONE SELECTED,NONE SELECTED,big bear lake,San Bernardino,"34.23501, -116.90509"
Health Net,Health Net,California Health & Wellness,Plans,not selected,DXF000067,Manifest MedEx,Manifest MedEx,Manifest MedEx,Saint Louis,St. Louis,"38.64432, -90.32833"
Health Net,Health Net,Wellcare of California Inc,Plans,not selected,DXF000067,Manifest MedEx,Manifest MedEx,Manifest MedEx,Saint Louis,St. Louis,"38.64432, -90.32833"
Erick Madrigal MD MBA INC,Erick Madrigal MD MBA INC,Erick Madrigal MD MBA INC,Ambulatory Care Settings,not selected,DXF000068,NONE SELECTED,NONE SELECTED,NONE SELECTED,Lindsay,Tulare,"35.98376, -118.87178"
Erick Madrigal MD MBA INC,Erick Madrigal MD MBA INC,Erick Madrigal MD MBA INC,Ambulatory Care Settings,not selected,DXF000068,NONE SELECTED,NONE SELECTED,NONE SELECTED,Visalia,Tulare,"36.29923, -119.381"
Erick Madrigal MD MBA INC,Erick Madrigal MD MBA INC,Erick Madrigal MD MBA INC,Ambulatory Care Settings,not selected,DXF000069,NONE SELECTED,NONE SELECTED,NONE SELECTED,Lindsay,Tulare,"35.98376, -118.87178"
Erick Madrigal MD MBA INC,Erick Madrigal MD MBA INC,Erick Madrigal MD MBA INC,Ambulatory Care Settings,not selected,DXF000069,NONE SELECTED,NONE SELECTED,NONE SELECTED,Visalia,Tulare,"36.29923, -119.381"
Anabi Medical,Anabi Medical,none identified,Ambulatory Care Settings,not selected,DXF000070,NONE SELECTED,NONE SELECTED,NONE SELECTED,Pomona,Los Angeles,"34.08145, -117.73845"
Bella Vista Medical Group IPA,Bella Vista Medical Group IPA,none identified,Ambulatory Care Settings,not selected,DXF000071,NONE SELECTED,NONE SELECTED,NONE SELECTED,Montebello,Los Angeles,"34.01507, -118.11073"
Vista Community Clinic,Vista Community Clinic,none identified,Ambulatory Care Settings,Federally Qualified Health Center (FQHC),DXF000073,Manifest MedEx,Manifest MedEx,Manifest MedEx,vista,San Diego,"33.22218, -117.20537"
"Mission Pediatrics, Inc.","Mission Pediatrics, Inc.",none identified,Ambulatory Care Settings,not selected,DXF000076,NONE SELECTED,NONE SELECTED,NONE SELECTED,Redlands,,
Los Angeles Network for Enhanced Services (LANES),Los Angeles Network for Enhanced Services (LANES),none identified,Intermediaries,Health Information Exchange Intermediary Organization (HIO),DXF000079,SELF,SELF,SELF,Los Angeles,Los Angeles,"34.03702, -118.42492"
NCHIIN,NCHIIN,none identified,Intermediaries,Health Information Exchange Intermediary Organization (HIO),DXF000086,OTHER,OTHER,OTHER,Eureka,Humboldt,"40.79809, -124.15097"
Primehealthcare,Primehealthcare,Prime Healthcare West Anaheim Medical Center,Acute Care Settings,not selected,DXF000087,NONE SELECTED,NONE SELECTED,NONE SELECTED,Anaheim,Orange,"33.81826, -117.97506"
Primehealthcare,Primehealthcare,Prime Healthcare Garden Grove Hospital and Medical Center,Acute Care Settings,not selected,DXF000087,NONE SELECTED,NONE SELECTED,NONE SELECTED,Garden Grove,Orange,"33.76403, -117.93141"
Primehealthcare,Primehealthcare,Prime Healthcare La Palma Intercommunity Hospital,Acute Care Settings,not selected,DXF000087,NONE SELECTED,NONE SELECTED,NONE SELECTED,La Palma,Orange,"33.85045, -118.04072"
Primehealthcare,Primehealthcare,Prime Healthcare Huntington Beach Hospital,Acute Care Settings,not selected,DXF000087,NONE SELECTED,NONE SELECTED,NONE SELECTED,Huntington Beach,Orange,"33.72342, -118.00667"
"Hill Physicians Medical Group, Inc.","Hill Physicians Medical Group, Inc.","Hill Physicians Care Solutions, Inc.",Plans,Health care service plans and disability insurer,DXF000088,eHealth Exchange,eHealth Exchange,NOT APPLICABLE,San Ramon,Contra Costa,"37.75515, -121.97273"
El Dorado County,El Dorado County,none identified,not selected,not selected,DXF000089,NONE SELECTED,NONE SELECTED,NONE SELECTED,Diamond Springs,El Dorado,"38.73526, -120.78985"
Santa Barbara San Luis Obispo Regional Health Authority,Santa Barbara San Luis Obispo Regional Health Authority,none identified,Plans,not selected,DXF000090,NONE SELECTED,NONE SELECTED,NONE SELECTED,Santa Barbara,Santa Barbara,"34.44804, -119.76248"
"Acuprogroup,inc.","Acuprogroup,inc.",none identified,Ancillary Care,Other ancillary care provider,DXF000096,NONE SELECTED,NONE SELECTED,NONE SELECTED,Montebello,Los Angeles,"34.01507, -118.11073"
"BioReference Health, LLC","BioReference Health, LLC",none identified,Ancillary Care,not selected,DXF000101,NONE SELECTED,NONE SELECTED,NONE SELECTED,Elmwood Park,,
Loida V Guevarra MD Inc,Loida V Guevarra MD Inc,none identified,Ambulatory Care Settings,Physician practice,DXF000104,NONE SELECTED,NONE SELECTED,NONE SELECTED,victorville,San Bernardino,"34.50159, -117.29441"
"Moreno Valley Physicians Associates, A Medical Corp.","Moreno Valley Physicians Associates, A Medical Corp.",none identified,Ambulatory Care Settings,Physician practice,DXF000106,Manifest MedEx,Manifest MedEx,Manifest MedEx,MORENO VALLEY,Riverside,"33.92338, -117.24486"
Northeast Valley Health Corporation,Northeast Valley Health Corporation,none identified,Ambulatory Care Settings,Federally Qualified Health Center (FQHC),DXF000107,Carequality,Carequality,Los Angeles Network for Enhanced Services (LANES),San Fernando,Los Angeles,"34.28679, -118.43513"
"Laser Eye Care of California, LLC","Laser Eye Care of California, LLC","Miramar Eye Specialists Medical Group, Inc",Ambulatory Care Settings,not selected,DXF000110,NONE SELECTED,NONE SELECTED,NONE SELECTED,ALISO VIEJO,Orange,"33.57622, -117.73039"
"Laser Eye Care of California, LLC","Laser Eye Care of California, LLC",Clarity Eye Group,Ambulatory Care Settings,not selected,DXF000110,NONE SELECTED,NONE SELECTED,NONE SELECTED,ALISO VIEJO,Orange,"33.57622, -117.73039"
"Laser Eye Care of California, LLC","Laser Eye Care of California, LLC","Thomas S. Tooma, M.D., a Professional Corporation",Ambulatory Care Settings,not selected,DXF000110,NONE SELECTED,NONE SELECTED,NONE SELECTED,ALISO VIEJO,Orange,"33.57622, -117.73039"
"Laser Eye Care of California, LLC","Laser Eye Care of California, LLC","SALEHI RETINA INSTITUTE, INC. (CA PC) dba Retina Associates of Southern California",Ambulatory Care Settings,not selected,DXF000110,NONE SELECTED,NONE SELECTED,NONE SELECTED,ALISO VIEJO,Orange,"33.57622, -117.73039"
"Laser Eye Care of California, LLC","Laser Eye Care of California, LLC","H Douglas Cooper MD, Inc.",Ambulatory Care Settings,not selected,DXF000110,NONE SELECTED,NONE SELECTED,NONE SELECTED,ALISO VIEJO,Orange,"33.57622, -117.73039"
"Laser Eye Care of California, LLC","Laser Eye Care of California, LLC","Sanford G. Feldman, M.D., Inc.",Ambulatory Care Settings,not selected,DXF000110,NONE SELECTED,NONE SELECTED,NONE SELECTED,ALISO VIEJO,Orange,"33.57622, -117.73039"
"Laser Eye Care of California, LLC","Laser Eye Care of California, LLC","Jeffrey V. Winston, M.D., a Professional Corporation",Ambulatory Care Settings,not selected,DXF000110,NONE SELECTED,NONE SELECTED,NONE SELECTED,ALISO VIEJO,Orange,"33.57622, -117.73039"
"Laser Eye Care of California, LLC","Laser Eye Care of California, LLC","Luis A. Chanes, M.D., Inc. d/b/a Eye Associates of Orange County",Ambulatory Care Settings,not selected,DXF000110,NONE SELECTED,NONE SELECTED,NONE SELECTED,ALISO VIEJO,Orange,"33.57622, -117.73039"
"Laser Eye Care of California, LLC","Laser Eye Care of California, LLC","East-West Eye Institute, a Medical Corporation",Ambulatory Care Settings,not selected,DXF000110,NONE SELECTED,NONE SELECTED,NONE SELECTED,ALISO VIEJO,Orange,"33.57622, -117.73039"
"Laser Eye Care of California, LLC","Laser Eye Care of California, LLC","Gabriel Jacob, M.D., a Medical Corporation",Ambulatory Care Settings,not selected,DXF000110,NONE SELECTED,NONE SELECTED,NONE SELECTED,ALISO VIEJO,Orange,"33.57622, -117.73039"
"Laser Eye Care of California, LLC","Laser Eye Care of California, LLC","Meister Eye & Laser Center a Medical Group, Inc.",Ambulatory Care Settings,not selected,DXF000110,NONE SELECTED,NONE SELECTED,NONE SELECTED,ALISO VIEJO,Orange,"33.57622, -117.73039"
"Laser Eye Care of California, LLC","Laser Eye Care of California, LLC",Bay Area Ophthalmic Medical Corp. d/b/a Turner Eye Institute,Ambulatory Care Settings,not selected,DXF000110,NONE SELECTED,NONE SELECTED,NONE SELECTED,ALISO VIEJO,Orange,"33.57622, -117.73039"
"Laser Eye Care of California, LLC","Laser Eye Care of California, LLC","Colin B. Arnold, M.D., Inc.",Ambulatory Care Settings,not selected,DXF000110,NONE SELECTED,NONE SELECTED,NONE SELECTED,ALISO VIEJO,Orange,"33.57622, -117.73039"
"Laser Eye Care of California, LLC","Laser Eye Care of California, LLC","Auburn Eye Care Associates Optometry, a California Professional Optometric Corporation",Ambulatory Care Settings,not selected,DXF000110,NONE SELECTED,NONE SELECTED,NONE SELECTED,ALISO VIEJO,Orange,"33.57622, -117.73039"
"Laser Eye Care of California, LLC","Laser Eye Care of California, LLC","Alvarado Eye Associates Medical Clinic, Inc.",Ambulatory Care Settings,not selected,DXF000110,NONE SELECTED,NONE SELECTED,NONE SELECTED,ALISO VIEJO,Orange,"33.57622, -117.73039"
Daniel E Fast,Daniel E Fast,none identified,Ambulatory Care Settings,Physician practice,DXF000130,NONE SELECTED,NONE SELECTED,NONE SELECTED,Palm Springs,Riverside,"33.86055, -116.56152"
Laurel Schramm MD,Laurel Schramm MD,none identified,Ambulatory Care Settings,not selected,DXF000131,NONE SELECTED,NONE SELECTED,NONE SELECTED,Los Angeles,Los Angeles,"34.07297, -118.37265"
Desert Rheumatology Clinic,Desert Rheumatology Clinic,none identified,Ambulatory Care Settings,not selected,DXF000132,NONE SELECTED,NONE SELECTED,NONE SELECTED,La Quinta,Riverside,"33.65396, -116.27871"
Kern Health Systems,Kern Health systems,none identified,Plans,Other plan,DXF000133,NONE SELECTED,NONE SELECTED,NONE SELECTED,Bakersfield,Kern,"35.54752, -118.93568"
Riverside Medical Clinic Patient Services_UHS,Riverside Medical Clinic Patient Services_UHS,"Riverside Medical Clinic, Inc.",Ambulatory Care Settings,not selected,DXF000137,NONE SELECTED,NONE SELECTED,NONE SELECTED,Riverside,Riverside,"33.93434, -117.36737"
Riverside Medical Clinic Patient Services_UHS,Riverside Medical Clinic Patient Services_UHS,Riverside Medical Clinic,Ambulatory Care Settings,Medical group,DXF000137,NONE SELECTED,NONE SELECTED,NONE SELECTED,Riverside,Riverside,"33.93434, -117.36737"
Chinese Hospital Association,Chinese Hospital Association,Chinese Hospital Skilled Nursing (D/P),Subacute Care Facility,Skilled nursing facility,DXF000139,Manifest MedEx,Manifest MedEx,Manifest MedEx,San Francisco,San Francisco,"37.80381, -122.41073"
Chinese Hospital Association,Chinese Hospital Association,Chinese Hospital,Acute Care Settings,General acute care hospital,DXF000139,Manifest MedEx,Manifest MedEx,Manifest MedEx,San Francisco,San Francisco,"37.80381, -122.41073"
Santa Clara County Health Authority d/b/a Santa Clara Family Health Plan,Santa Clara County Health Authority d/b/a Santa Clara Family Health Plan,none identified,Plans,not selected,DXF000140,NONE SELECTED,NONE SELECTED,NONE SELECTED,San Jose,Santa Clara,"37.22893, -121.78599"
"Christine K. Won, M.D.","Christine K. Won, M.D.",none identified,Ambulatory Care Settings,not selected,DXF000146,NONE SELECTED,NONE SELECTED,NONE SELECTED,Pasadena,Los Angeles,"34.13821, -118.16677"
Westside Medical Associates of Los Angeles,Westside Medical Associates of Los Angeles,none identified,not selected,not selected,DXF000147,NONE SELECTED,NONE SELECTED,NONE SELECTED,Beverly Hills,Los Angeles,"34.06502, -118.38304"
Orange County Orthopaedics & Sports Med Grp,Orange County Orthopaedics & Sports Med Grp,none identified,not selected,not selected,DXF000148,NONE SELECTED,NONE SELECTED,NONE SELECTED,Laguna Hills,Orange,"33.59159, -117.69847"
Sharp,Sharp,none identified,Acute Care Settings,General acute care hospital,DXF000150,NONE SELECTED,NONE SELECTED,NONE SELECTED,San Diego,San Diego,"32.71621, -117.11704"
Logan M Haak MD Inc,Logan M Haak MD Inc,none identified,Ambulatory Care Settings,not selected,DXF000151,NONE SELECTED,NONE SELECTED,NONE SELECTED,San Diego,San Diego,"32.72396, -117.17072"
"Retina Orange County, Inc.","Retina Orange County, Inc.",none identified,Ambulatory Care Settings,Physician practice,DXF000152,NONE SELECTED,NONE SELECTED,NONE SELECTED,Irvine,Orange,"33.66816, -117.73421"
adams medical group a professional corporation,adams medical group a professional corporation,none identified,Ambulatory Care Settings,not selected,DXF000155,NONE SELECTED,NONE SELECTED,NONE SELECTED,turlock,Stanislaus,"37.5284, -120.85304"
SPASOJE M NESKOVIC MD,SPASOJE M NESKOVIC MD,none identified,Ambulatory Care Settings,Physician practice,DXF000156,NONE SELECTED,NONE SELECTED,NONE SELECTED,Burbank,Los Angeles,"34.20052, -118.29583"
Petr Utrata M.D.,Petr Utrata M.D.,none identified,Ambulatory Care Settings,not selected,DXF000157,NONE SELECTED,NONE SELECTED,NONE SELECTED,Castro Valley,Alameda,"37.71498, -122.08002"
Susan Eile MD,Susan Eile MD,none identified,Ambulatory Care Settings,not selected,DXF000159,NONE SELECTED,NONE SELECTED,NONE SELECTED,San Leandro,Alameda,"37.70642, -122.1253"
One LifeDiet,One LifeDiet,none identified,not selected,not selected,DXF000161,NONE SELECTED,NONE SELECTED,NONE SELECTED,Solana Beach,San Diego,"32.99738, -117.25844"
"Shawn Barnes, M.D.","Shawn Barnes, M.D.",none identified,not selected,not selected,DXF000162,NONE SELECTED,NONE SELECTED,NONE SELECTED,Carlsbad,San Diego,"33.0943, -117.24577"
Meitri Collaborative,Meitri Collaborative,none identified,Ambulatory Care Settings,not selected,DXF000163,NONE SELECTED,NONE SELECTED,NONE SELECTED,San Francisco,San Francisco,"37.7797, -122.41924"
Simi Obstetrics & Gynecology Medical Group,Simi Obstetrics & Gynecology Medical Group,none identified,Ambulatory Care Settings,not selected,DXF000165,NONE SELECTED,NONE SELECTED,NONE SELECTED,SIMI VALLEY,Ventura,"34.26022, -118.77436"
Apex Dermatology,Apex Dermatology,none identified,Ambulatory Care Settings,not selected,DXF000167,NONE SELECTED,NONE SELECTED,NONE SELECTED,Westlake Village,Ventura,"34.13649, -118.889"
Imelda Tanchoco,Imelda Tanchoco,none identified,Ambulatory Care Settings,not selected,DXF000168,NONE SELECTED,NONE SELECTED,NONE SELECTED,West Covina,Los Angeles,"34.06735, -117.93771"
Iftikhar A. Khan M.D. Inc.,Iftikhar A. Khan M.D. Inc.,none identified,Ambulatory Care Settings,not selected,DXF000169,NONE SELECTED,NONE SELECTED,NONE SELECTED,Montebello,Los Angeles,"34.01507, -118.11073"
WellPsyche Medical Group,WellPsyche Medical Group,Medi Psych Services Inc,Ambulatory Care Settings,not selected,DXF000171,NONE SELECTED,NONE SELECTED,NONE SELECTED,Los Angeles,Los Angeles,"34.05291, -118.2643"
WellPsyche Medical Group,WellPsyche Medical Group,Adel Mostafavi MD Inc,Ambulatory Care Settings,not selected,DXF000171,NONE SELECTED,NONE SELECTED,NONE SELECTED,Los Angeles,Los Angeles,"34.05291, -118.2643"
ARNOLD J BLUSTEIN,ARNOLD J BLUSTEIN,none identified,Ambulatory Care Settings,not selected,DXF000176,NONE SELECTED,NONE SELECTED,NONE SELECTED,San Leandro,Alameda,"37.71543, -122.16628"
Arthur Kowell,Arthur Kowell,none identified,Ambulatory Care Settings,not selected,DXF000178,NONE SELECTED,NONE SELECTED,NONE SELECTED,Encino,Los Angeles,"34.15087, -118.49229"
Bahman Omrani,Bahman Omrani,none identified,Ambulatory Care Settings,not selected,DXF000180,NONE SELECTED,NONE SELECTED,NONE SELECTED,Sherman Oaks,Los Angeles,"34.14852, -118.43272"
Thomas Badin MD,Thomas Badin MD,none identified,Ambulatory Care Settings,not selected,DXF000181,NONE SELECTED,NONE SELECTED,NONE SELECTED,Santa Ana,Orange,"33.75566, -117.81639"
Chulhwe Koo MD,Chulhwe Koo MD,none identified,Ambulatory Care Settings,not selected,DXF000182,NONE SELECTED,NONE SELECTED,NONE SELECTED,Riverside,Riverside,"33.88162, -117.44479"
"Lavinia Chong, M.D., Inc.","Lavinia Chong, M.D., Inc.",none identified,not selected,not selected,DXF000183,NONE SELECTED,NONE SELECTED,NONE SELECTED,Newport Beach,Orange,"33.63374, -117.87449"
Innovative Care Medicine,Innovative Care Medicine,none identified,Ambulatory Care Settings,Physician practice,DXF000184,NONE SELECTED,NONE SELECTED,NONE SELECTED,Corona,Riverside,"33.87976, -117.53548"
"Coastal Cardiology, A Medical Corporation","Coastal Cardiology, A Medical Corporation",none identified,Ambulatory Care Settings,Medical group,DXF000188,NONE SELECTED,NONE SELECTED,NONE SELECTED,San Luis Obispo,San Luis Obispo,"35.24175, -120.61711"
Affordable Living for the Aging,Affordable Living for the Aging,none identified,Community-Based Organizations,Continuum of Care organization (CoC),DXF000189,NONE SELECTED,NONE SELECTED,NONE SELECTED,West Hollywood,Los Angeles,"34.10746, -118.36525"
Eureka Radiation Oncology Consultants,Eureka Radiation Oncology Consultants,none identified,Ambulatory Care Settings,not selected,DXF000190,NONE SELECTED,NONE SELECTED,NONE SELECTED,Blue Lake,Humboldt,"40.925, -123.82271"
"Correctional Health Management, LLC","Correctional Health Management, LLC","Correctional Health Management of California, Inc",Ambulatory Care Settings,Physician practice,DXF000191,NONE SELECTED,NONE SELECTED,NONE SELECTED,San Bernardino,San Bernardino,"34.08448, -117.26588"
valley oak pediatric associates,valley oak pediatric associates,none identified,Ambulatory Care Settings,Physician practice,DXF000194,NONE SELECTED,NONE SELECTED,NONE SELECTED,Modesto,Stanislaus,"37.72039, -121.02532"
Rhonda Rand,Rhonda Rand,none identified,Ambulatory Care Settings,not selected,DXF000196,NONE SELECTED,NONE SELECTED,NONE SELECTED,Beverly Hills,Los Angeles,"34.10103, -118.41475"
"Superior Medical Group, A Professional Corporation","Superior Medical Group, A Professional Corporation",none identified,Ambulatory Care Settings,not selected,DXF000198,NONE SELECTED,NONE SELECTED,NONE SELECTED,Fullerton,Orange,"33.90187, -117.91735"
"Roy Medical Group, Inc.","Roy Medical Group, Inc.",none identified,Ambulatory Care Settings,not selected,DXF000199,NONE SELECTED,NONE SELECTED,NONE SELECTED,Woodland Hills,Los Angeles,"34.17705, -118.61531"
KSK Medical,KSK Medical,Imaging Center of Irvine,not selected,not selected,DXF000202,NONE SELECTED,NONE SELECTED,NONE SELECTED,Irvine,Orange,"33.66816, -117.73421"
KSK Medical,KSK Medical,Procedure Center of Irvine,not selected,not selected,DXF000202,NONE SELECTED,NONE SELECTED,NONE SELECTED,Irvine,Orange,"33.66816, -117.73421"
KSK Medical,KSK Medical,Kenneth M Tokita MD INC,Ambulatory Care Settings,not selected,DXF000202,NONE SELECTED,NONE SELECTED,NONE SELECTED,Irvine,Orange,"33.66816, -117.73421"
Andrew Imparato inc,Andrew Imparato inc,none identified,Ambulatory Care Settings,not selected,DXF000206,NONE SELECTED,NONE SELECTED,NONE SELECTED,Fullerton,Orange,"33.90187, -117.91735"
