Participant_ID,Participant_Name,Delaying_Exchange_until_2026,Request_for_Information,Information_Delivery,Requests_for_Notification_of_ADT_Events,Own_Technology_URL,Own_Technology_Email,Own_Technology_Phone,Date_DSA_Terminated,Date_Operations_Ceased,Report_Date
DXF003065,"(Del Rosa Villa) Del Rosa Villaidence Opco, LLC",No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA,3/13/24
DXF003066,"(Delta View Post Acute) Antioch Dunes Healthcare, LLC",No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA,3/13/24
DXF003067,"(Diablo Valley Post Acute) Concord SNF Healthcare, LLC",No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA,3/13/24
DXF003068,"(East Bay Post Acute) Bilberry Holdings, LLC",No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA,3/13/24
DXF003069,"(Escondido Post Acute) Escondido Healthcare, LLC",No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA,3/13/24
DXF003032,"(Garden City Healthcare Center) Fig Holdings, LLC",No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA,3/13/24
DXF003070,"(Gateway Post Acute) Valley Careidence Opco, LLC",No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA,3/13/24
DXF003071,"(Hanford Post Acute) Hanfordidence Opco, LLC",No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA,3/13/24
DXF003072,"(Hayward Gardens Post Acute) Hayward SNF Healthcare, LLC",No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA,3/13/24
DXF003073,"(Highland Palms Healthcare Center) Cedar Holdings, LLC",No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA,3/13/24
DXF003075,"(Huntington Valley Healthcare Center) Douglas Fir Holdings, LLC",No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA,3/13/24
DXF003074,"(Jurupa Hills Post Acute ) Mt Rubidouxidence Opco, LLC",No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA,3/13/24
DXF003076,"(Kennedy Care Center) Fairfax Healthcare, LLC",No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA,3/13/24
DXF003077,"(Kern River Transitional Care) Bakersfieldidence Opco, LLC",No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA,3/13/24
DXF003078,"(La Mesa Healthcare Center) Elm Holdings, LLC",No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA,3/13/24
DXF003079,"(La Paloma Healthcare Center) Italian Maple Holdings, LLC",No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA,3/13/24
DXF003080,"(Lakeport Post Acute) Lakeport Post Acute, LLC",No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA,3/13/24
DXF003081,"(Las Colinas Post Acute ) Ontarioidence Opco, LLC",No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA,3/13/24
DXF003082,"(Lincoln Meadows Care Center) Violet Holdings, LLC",No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA,3/13/24
DXF003083,"(Lindsay Gardens Nursing & Rehabilitation) Lindsay Gardensidence Opco, LLC",No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA,3/13/24
DXF003084,"(Linwood Meadows Care Center) Snowdrop Holdings, LLC",No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA,3/13/24
DXF003085,"(Loma Linda Post Acute) Loma Linda SNF Healthcare, LLC",No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA,3/13/24
DXF003086,"(Lone Tree Post Acute) Contra Loma Healthcare, LLC",No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA,3/13/24
DXF003087,"(Marin Post Acute) Marinidence Opco, LLC",No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA,3/13/24
DXF003088,"(Marysville Post Acute) Melon Holdings, LLC",No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA,3/13/24
DXF003037,"(McClure Post Acute) McClureidence Opco, LLC",No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA,3/13/24
DXF003089,"(McKinley Park Care Center) Azalea Holdings, LLC",No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA,3/13/24
DXF003090,"(Medical Hill Healthcare Center) Oaklandidence Opco, LLC",No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA,3/13/24
DXF003091,"(Midtown Oaks Post Acute) White Fir Holdings, LLC",No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA,3/13/24
DXF003092,"(Mirage Post Acute) Lancaster SNF Healthcare, LLC",No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA,3/13/24
DXF003093,"(Mission Valley Post Acute) Fremont SNF Healthcare, LLC",No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA,3/13/24
DXF003094,"(Moraga Post Acute) Moragaidence Opco, LLC",No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA,3/13/24
DXF003095,"(Napa Post Acute) Napaidence Opco, LLC",No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA,3/13/24
DXF003096,"(Napa Valley Care Center) Petunia Holdings, LLC",No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA,3/13/24
DXF003097,"(Newport Beach Memory Care) Corktree Holdings, LLC",No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA,3/13/24
DXF003098,"(North Pointe Care Center) North Sacramento Healthcare, LLC",No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA,3/13/24
DXF003099,"(Oak Glen Post Acute) Miravilla SNF Healthcare, LLC",No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA,3/13/24
DXF003100,"(Oak River Rehab) Magnolia Holdings, LLC",No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA,3/13/24
DXF003101,"(Oakwood Gardens Care Center) Lily Holdings, LLC",No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA,3/13/24
DXF003102,"(Ocean Ridge Post Acute) Alamitos Ridge Heathcare, LLC",No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA,3/13/24
DXF003103,"(Ojai Health & Rehabilitation) Ojai Healthidence Opco, LLC",No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA,3/13/24
DXF003104,"(Orchard Post Acute) Fresno Valley SNF, LLC",No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA,3/13/24
DXF003105,"(Pacific Coast Post Acute) Salinasidence Opco, LLC",No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA,3/13/24
DXF003106,"(Palomar Heights Post Acute) Palomar Heights Healthcare, LLC",No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA,3/13/24
DXF003107,"(Paradise Valley Health Care Center) Paradise Valley Health Care Center, Inc.",No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA,3/13/24
DXF003108,"(Peninsula Post Acute) Pear Holdings, LLC",No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA,3/13/24
DXF003109,"(Pine Creek Care Center) Daisy Holdings, LLC",No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA,3/13/24
DXF003110,"(Pleasant Hill Post Acute) Pleasant Hillidence Opco, LLC",No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA,3/13/24
DXF003111,"(Poway Healthcare Center) Poplar Holdings, LLC",No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA,3/13/24
DXF003112,"(Primrose Post Acute) Kumquat Holdings, LLC",No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA,3/13/24
DXF003129,"(Rancho Bellagio Post Acute) Moreno Valley SNF, LLC",No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA,3/13/24
DXF003130,"(Redlands Healthcare Center) Ash Holdings, LLC",No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA,3/13/24
DXF003131,"(Redwood Cove Healthcare Center) Nightshade Holdings, LLC",No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA,3/13/24
DXF003132,"(Reo Vista Healthcare Center) Lilac Holdings, LLC",No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA,3/13/24
DXF003133,"(Ridgeway Post Acute) Petaluma SNF Healthcare, LLC",No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA,3/13/24
DXF003134,"(River Valley Care Center) Flax Holdings, LLC",No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA,3/13/24
DXF003135,"(Riverwalk Post Acute) Orange Treeidence Opco, LLC",No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA,3/13/24
DXF003136,"(Rock Creek Care Center) Ulmus Holdings, LLC",No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA,3/13/24
DXF003137,"(Roseville Care Center) Crocus Holdings, LLC",No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA,3/13/24
DXF003138,"(Sacramento Post Acute) Oleander Holdings, LLC",No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA,3/13/24
DXF003139,"(Salinas Valley Post Acute) Salinas Community Healthcare, LLC",No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA,3/13/24
DXF003140,"(San Bruno Skilled Nursing) San Brunoidence Opco, LLC",No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA,3/13/24
DXF003141,"(San Diego Post Acute) Pepperbush Holdings, LLC",No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA,3/13/24
DXF003142,"(San Francisco Post Acute) San Franciscoidence Opco, LLC",No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA,3/13/24
DXF003143,"(San Jacinto Valley Post Acute) Hemet SNF Healthcare, LLC",No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA,3/13/24
DXF003144,"(San Joaquin Nursing Center ) Kern Valleyidence Opco, LLC",No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA,3/13/24
DXF003145,"(San Miguel Villa) Tranquility, Inc. (Operator)",No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA,3/13/24
DXF003146,"(Santa Cruz Post Acute) Santa Cruzidence Opco, LLC",No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA,3/13/24
DXF003147,"(Santa Rosa Post Acute) Santa Rosaidence Opco, LLC",No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA,3/13/24
DXF003148,"(Sequoia Transitional Care) Sun Villaidence Opco, LLC",No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA,3/13/24
DXF003149,"(Shadelands Post Acute) Grey Pine Holdings, LLC",No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA,3/13/24
DXF003150,"(Sherwood Oaks Post Acute) Westlake Oaks Healthcare, LLC",No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA,3/13/24
DXF003151,"(Sierra Valley Rehab Center) Sierra Nevada SNF, LLC",No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA,3/13/24
DXF003152,"(Sonoma Post Acute) Sonomaidence Opco, LLC",No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA,3/13/24
DXF003155,"(St. Francis Healthcare Center) Hayward Health Center, LLC",No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA,3/13/24
DXF003156,"(Stoney Point Healthcare Center) Cucumber Holdings, LLC",No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA,3/13/24
DXF003157,"(Sundance Creek Post Acute) Cherry Valley SNF Healthcare, LLC",No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA,3/13/24
DXF003158,"(Sunnyvale Post Acute) Jujube Holdings, LLC",No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA,3/13/24
DXF003159,"(Sunrise Post Acute) Banning SNF Healthcare, LLC",No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA,3/13/24
DXF003161,"(Sunset Villa Post Acute) Long Beach Healthcare, LLC",No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA,3/13/24
DXF003162,"(The Pines at Placerville Healthcare Center) Gladiolus Holdings, LLC",No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA,3/13/24
DXF003163,"(Tiburon Hills Care Center) Tiburon Community SNF, LLC",No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA,3/13/24
DXF003164,"(Trellis Chino) Macadamia Holdings, LLC",No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA,3/13/24
DXF003165,"(University Care Center) Birch Holdings, LLC",No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA,3/13/24
DXF003166,"(Valley Pointe Nursing & Rehabilitation Center) Valley Pointeidence Opco, LLC",No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA,3/13/24
DXF003168,"(Valley View Post Acute) El Monte SNF, LLC",No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA,3/13/24
DXF003169,"(Vasona Creek Healthcare Center) Golden Oak Holdings, LLC",No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA,3/13/24
DXF003170,"(Victorian Post Acute) Golden Gateidence Opco, LLC",No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA,3/13/24
DXF003171,"(Villa Las Palmas Healthcare Center) Jeffrey Pine Holdings, LLC",No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA,3/13/24
DXF003172,"(Vineyard Post Acute) Petalumaidence Opco, LLC",No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA,3/13/24
DXF003173,"(Visalia Post Acute) Spruce Holdings, LLC",No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA,3/13/24
DXF003174,"(Vista Real Post Acute) Beaumont SNF Healthcare, LLC",No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA,3/13/24
DXF003175,"(Waterman Canyon Post Acute) Watermanidence Opco, LLC",No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA,3/13/24
DXF003176,"(West Valley Post Acute) West Valleyidence Opco, LLC",No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA,3/13/24
DXF003177,"(Western Slope Health Center) Rosebud Holdings, LLC",No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA,3/13/24
DXF003178,"(Westgate Gardens Care Center) Thyme Holdings, LLC",No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA,3/13/24
DXF003179,"(Westview Healthcare Center) Kerria Holdings, LLC",No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA,3/13/24
DXF003180,"(White Blossom Care Center) Hawthorne Holdings, LLC",No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA,3/13/24
DXF003181,"(Whitney Oaks Care Center) Queen Ann's Lace Holdings, LLC",No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA,3/13/24
DXF003182,"(Willow Creek Healthcare Center) Willow Creek Post Acute, LLC",No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA,3/13/24
DXF003183,"(Wolf Creek Care Center) Bluebell Holdings, LLC",No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA,3/13/24
DXF003184,"(Yuba City Post Acute) Guava Holdings, LLC",No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA,3/13/24
DXF002891,1100 SOUTH ALVARADO STREET LLC,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA,3/13/24
DXF004763,14766 Washington Avenue Operations LLC,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA,3/13/24
DXF004256,1495 Cameron Ave,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA,3/13/24
DXF002426,18 Reasons,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA,3/13/24
DXF004424,1Heart Care Giver Services La Jolla,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA,3/13/24
DXF003327,211 LA,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA,3/13/24
DXF003692,"24Hr HomeCare, LLC",No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA,3/13/24
DXF004764,"320 North Crawford Avenue Operations, LLC",No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA,3/13/24
DXF002990,360 Wellness Solutions,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA,3/13/24
DXF002991,"360 Wellness Solutions Physical Therapy & Rehabilitation Services, Professional Corporation",No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA,3/13/24
DXF003930,4Cs Sonoma County,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA,3/13/24
DXF001818,"980 E. Foothill Blvd, Suite 101, Upland, CA 91786",No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA,3/13/24
DXF005136,A GRACE SUBACUTE & SKILLED CARE,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA,3/13/24
DXF004411,A Senior connection,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA,3/13/24
DXF002645,A TU SALUD A MEDICAL CORPORATION,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA,3/13/24
DXF003322,A woman for women medical group Inc,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA,3/13/24
DXF000209,"A. Elaine Ashby, MD, Inc.",No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA,3/13/24
DXF004413,AAA Comprehensive Healthcare Inc.,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA,3/13/24
DXF003721,ABA Enhancement LLC,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA,3/13/24
DXF002058,"Abayomi A. Odubela, MD, APC",No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA,3/13/24
DXF004576,ABC CHILDREN'S CLINIC,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA,3/13/24
DXF004291,"Abdul W. Khan, MD",No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA,3/13/24
DXF001666,ABID HUSSAIN MD,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA,3/13/24
DXF001699,ABM Medical Clinic Inc,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA,3/13/24
DXF003584,"Abrazar, Inc.",No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA,3/13/24
DXF003372,Acacia Family Medical Group,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA,3/13/24
DXF004392,ACASA Senior Care,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA,3/13/24
DXF000260,ACC Care Center,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA,3/13/24
DXF002441,Access TLC home health and hospice,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA,3/13/24
DXF002686,Access TLC Home Health Care,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA,3/13/24
DXF004092,Accumen TMS Center,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA,3/13/24
DXF004136,Accupath Diagnostic Laboratories Inc,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA,3/13/24
DXF004137,Accupath Diagnostic Laboratories Inc,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA,3/13/24
DXF003355,ace care pharmacy management and consulting,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA,3/13/24
DXF004028,ACES 2020 LLC,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA,3/13/24
DXF005073,ACHILLES PROSTHETICS AND ORTHOTI,No,NONE SELECTED,NONE SELECTED,NONE SELECTED,NA,NA,NA,NA,NA,3/13/24
