Primary_Organization,Subordinate_Organization,Type,Sub_Type,City,County,ZIP
Adventist Health System/West,Adventist Health Delano,Acute Care Settings,General acute care hospital,Delano,#N/A,93215
Adventist Health System/West,Adventist Health Medical Center Tehachapi,Acute Care Settings,General acute care hospital,Tehachapi,#N/A,93561
Adventist Health System/West,Adventist Health Mendocino Coast,Acute Care Settings,General acute care hospital,Fort Bragg,#N/A,95437
Adventist Health System/West,Adventist Health Physicians Network,Ambulatory Care Settings,Medical group,Roseville,#N/A,95661
Adventist Health System/West,Adventist Health Tulare,Acute Care Settings,General acute care hospital,tulare,#N/A,93274
Adventist Health System/West,Glendale Adventist Medical Center,Acute Care Settings,General acute care hospital,Glendale,#N/A,91206
Adventist Health System/West,Hanford Community Hospital,Acute Care Settings,General acute care hospital,Hanford,#N/A,93230
Adventist Health System/West,"Lodi Memorial Hospital Association, Inc.",Acute Care Settings,General acute care hospital,Lodi,#N/A,95240
Adventist Health System/West,Reedley Community Hospital,Acute Care Settings,General acute care hospital,Reedley,#N/A,93654
Adventist Health System/West,Rideout Memorial Hospital,Acute Care Settings,General acute care hospital,Marysville,#N/A,95901
Adventist Health System/West,San Joaquin Community Hospital,Acute Care Settings,General acute care hospital,Bakersfield,#N/A,93302
Adventist Health System/West,Simi Valley Hospital and Health Care Services,Acute Care Settings,General acute care hospital,SIMI VALLEY,#N/A,93065
Adventist Health System/West,Sonora Community Hospital,Acute Care Settings,General acute care hospital,Sonora,#N/A,95370
Adventist Health System/West,St. Helena Hospital,Acute Care Settings,General acute care hospital,St. Helena,#N/A,94574
Adventist Health System/West,Ukiah Adventist Hospital,Acute Care Settings,General acute care hospital,Ukiah,#N/A,95482
Adventist Health System/West,White Memorial Medical Center,Acute Care Settings,General acute care hospital,Los Angeles,#N/A,90033
Adventist Health System/West,"Willits Hospital, Inc.",Acute Care Settings,General acute care hospital,Willits,#N/A,95490
Aetna,none identified,Plans,Health care service plans and disability insurer,Louisville,#N/A,40241
"Aetna Medicaid Administrators, LLC/Aetna Better Health of California",Aetna Better Health Of California,Plans,Health care service plans and disability insurer,San Diego,#N/A,92131
"Affiliates in Dermatology Medical Group, Inc.",none identified,Ambulatory Care Settings,Medical group,Oakland,#N/A,94609
"Affinity Home Health Care Services, INC.",none identified,Ancillary Care,Other ancillary care provider,Riverside,#N/A,92506
Affordable Living for the Aging,none identified,Community-Based Organizations,Continuum of Care organization (CoC),West Hollywood,#N/A,90046
Afrouz Gerayli MD INC,none identified,Ambulatory Care Settings,not selected,Camarillo,#N/A,93010
"AG Murrieta SNF, LLC",none identified,Subacute Care Facility,Skilled nursing facility,Murrieta,#N/A,92562
Agoura-West Valley Pediatric Medical Group,none identified,Community-Based Organizations,Other community-based service provider,West Hills,#N/A,91307
"AGSE,LLC.",none identified,Subacute Care Facility,Skilled nursing facility,Greenbrae,#N/A,94904
"Ahmad Hajj, MD INC",none identified,Ambulatory Care Settings,Physician practice,Santa Ana,#N/A,92707
AHMC Health System,Garfield Medical Center,Acute Care Settings,General acute care hospital,Monterey Park,#N/A,91754
AHMC Health System,Garfield Medical Center Laboratory,Ancillary Care,Clinical laboratory,Monterey Park,#N/A,91754
AHMC Health System,Greater El Monte Community Hospital,Acute Care Settings,General acute care hospital,South El Monte,#N/A,91733
AHMC Health System,Greater El Monte Community Hospital SNF,Subacute Care Facility,Skilled nursing facility,South El Monte,#N/A,91733
AHMC Health System,Greater El Monte Community Hospital Laboratory,Ancillary Care,Clinical laboratory,South El Monte,#N/A,91733
AHMC Health System,Greater El Monte Community Hospital Cardiopulmonary Laboratory,Ancillary Care,Clinical laboratory,South El Monte,#N/A,91733
AHMC Health System,Monterey Park Hospital,Acute Care Settings,General acute care hospital,Monterey Park,#N/A,91754
AHMC Health System,Monterey Park Hospital Laboratory,Ancillary Care,Clinical laboratory,Monterey Park,#N/A,91754
AHMC Health System,Whittier Hospital Medical Center,Acute Care Settings,General acute care hospital,Whittier,#N/A,90605
AHMC Health System,Whittier Hospital Medical Center SNF,Subacute Care Facility,Skilled nursing facility,Whittier,#N/A,90605
AHMC Health System,Whittier Hospital Medical Center Laboratory,Ancillary Care,Clinical laboratory,Whittier,#N/A,90605
AHMC Health System,Whittier Hospital Medical Center Cardiorespiratory Laboratory,Ancillary Care,Clinical laboratory,Whittier,#N/A,90605
AHMC Health System,Whittier Hospital Medical Center Women's Health Center,Ancillary Care,Other ancillary care provider,Whittier,#N/A,90605
AHMC Health System,Anaheim Regional Medical Center,Acute Care Settings,General acute care hospital,Anaheim,#N/A,92801
AHMC Health System,Anaheim Regional Medical Center Laboratory,Ancillary Care,Clinical laboratory,Anaheim,#N/A,92801
AHMC Health System,Anaheim Regional Medical Center Blood Gas Laboratory,Ancillary Care,Clinical laboratory,Anaheim,#N/A,92801
AHMC Health System,Doctors Hospital of Riverside,Acute Care Settings,General acute care hospital,Riverside,#N/A,92503
AHMC Health System,Doctors Hospital of Riverside Laboratory,Ancillary Care,Clinical laboratory,Riverside,#N/A,92503
AHMC Health System,Seton Medical Center,Acute Care Settings,General acute care hospital,DALY CITY,#N/A,94015
AHMC Health System,Seton Medical Center Acute Psychiatric Hospital,Acute Care Settings,Psychiatric hospital,DALY CITY,#N/A,94015
AHMC Health System,Seton Medical Center SNF,Subacute Care Facility,Skilled nursing facility,DALY CITY,#N/A,94015
AHMC Health System,San Gabriel Valley Medical Center,Acute Care Settings,General acute care hospital,San Gabriel,#N/A,91776
AHMC Health System,San Gabriel Valley Medical Center Acute Psychiatric Hospital,Acute Care Settings,Psychiatric hospital,San Gabriel,#N/A,91776
AHMC Health System,San Gabriel Valley Medical Center SNF,Subacute Care Facility,Skilled nursing facility,San Gabriel,#N/A,91776
AHMC Health System,San Gabriel Valley Medical Center Laboratory,Ancillary Care,Clinical laboratory,San Gabriel,#N/A,91776
AHMC Health System,Seton Medical Center Laboratory,Ancillary Care,Clinical laboratory,DALY CITY,#N/A,94015
AHMC Health System,Seton Medical Center Coastside Laboratory,Ancillary Care,Clinical laboratory,DALY CITY,#N/A,94015
AHMC Health System,Seton Medical Center Coastside,Acute Care Settings,General acute care hospital,Moss Beach,#N/A,94038
AHMC Health System,Seton Medical Center Coastside SNF,Subacute Care Facility,Skilled nursing facility,Moss Beach,#N/A,94038
AHMC Health System,Alhambra Hospital Medical Center,Acute Care Settings,General acute care hospital,Alhambra,#N/A,91801
AHMC Health System,Alhambra Hospital Medical Center SNF,Subacute Care Facility,Skilled nursing facility,Alhambra,#N/A,91801
AHMC Health System,Alhambra Hospital Medical Center Laboratory,Ancillary Care,Clinical laboratory,Alhambra,#N/A,91801
AHMC Health System,San Gabriel Valley Medical Center Respiratory Care Laboratory,Ancillary Care,Clinical laboratory,San Gabriel,#N/A,91776
AIDS Healthcare Foundation,none identified,Plans,Health care service plans and disability insurer,Los Angeles,#N/A,90028
AIDS Services Foundation of Orange County dba Radiant Health Centers,none identified,Community-Based Organizations,Other community-based service provider,Irvine,#N/A,92614-6482
AIMS MedCare Inc,none identified,Ambulatory Care Settings,Physician practice,Irvine,#N/A,92602
Akhil Sharma MD Inc,Radiant Pediatrics,Ambulatory Care Settings,Physician practice,Apple Valley,#N/A,92307
Alameda Alliance for Health,none identified,Plans,Health care service plans and disability insurer,Alameda,#N/A,94502
Alameda County Health Care Services Agency,Alameda County Behavioral Health Care Services: MHP,Counties,"Behavioral health plan (SMH plans, Medi-Cal RX and DMC-ODS entities)",Oakland,#N/A,94606
Alameda County Health Care Services Agency,Alameda County Public Health Department,Counties,Department of public health,San Leandro,#N/A,94577
Alameda County Health Care Services Agency,Alameda County Behavioral Health Care Services: DMC-ODS,Counties,"Behavioral health plan (SMH plans, Medi-Cal RX and DMC-ODS entities)",Oakland,#N/A,94606
Alameda Health System,Highland Hospital,Acute Care Settings,General acute care hospital,Oakland,#N/A,94602-1018
Alameda Health System,Fairmont Hospital,Subacute Care Facility,Skilled nursing facility,San Leandro,#N/A,94578-1009
Alameda Health System,John George Psychiatric Hospital,Acute Care Settings,Psychiatric hospital,San Leandro,#N/A,94578-1001
Alameda Health System,San Leandro Hospital,Acute Care Settings,General acute care hospital,San Leandro,#N/A,94578-2611
Alameda Health System,Alameda Hospital,Acute Care Settings,General acute care hospital,Alameda,#N/A,94501-4399
Alameda Health System,Alameda Hospital - South Shore Convalescent,Subacute Care Facility,Skilled nursing facility,Alameda,#N/A,94501-5711
Alameda Health System,Park Bridge Rehabilitation and Wellness Center,Subacute Care Facility,Skilled nursing facility,Alameda,#N/A,94501-1503
Alameda Health System,Alameda Health Medical Group,Ambulatory Care Settings,Medical group,San Leandro,#N/A,94578
Alameda Health System,Eastmont Wellness,Ambulatory Care Settings,Federally Qualified Health Center (FQHC),Oakland,#N/A,94605
Alameda Health System,Hayward Wellness,Ambulatory Care Settings,Federally Qualified Health Center (FQHC),Hayward,#N/A,94545
Alameda Health System,Newark Wellness,Ambulatory Care Settings,Federally Qualified Health Center (FQHC),Newark,#N/A,94560
Alameda Health System,Highland Wellness,Ambulatory Care Settings,Federally Qualified Health Center (FQHC),Oakland,#N/A,94602
Alameda Health System,Alameda Hospital Clinical Laboratory,Ancillary Care,Clinical laboratory,Alameda,#N/A,94501
Alameda Health System,Highland Hospital Clinical Laboratory,Ancillary Care,Clinical laboratory,Oakland,#N/A,94602
Alameda Health System,Eastmont Wellness Center Clinical Laboratory,Ancillary Care,Clinical laboratory,Oakland,#N/A,94605
Alameda Health System,Newark Wellness Center Clinical Laboratory,Ancillary Care,Clinical laboratory,Newark,#N/A,94560
Alameda Health System,John George Psychiatric Hospital Clinical Laboratory,Ancillary Care,Clinical laboratory,San Leandro,#N/A,94578
Alameda Health System,Fairmont Hospital Clinical Laboratory,Ancillary Care,Clinical laboratory,San Leandro,#N/A,94578
Alameda Health System,San Leandro Hospital Clinical Laboratory,Ancillary Care,Clinical laboratory,San Leandro,#N/A,94578
Alameda Health System,Highland Hospital Sterile Compounding Pharmacy,Pharmacy,not selected,Oakland,#N/A,94602
Alameda Health System,Highland Care Pavilion Sterile Compounding Pharmacy,Pharmacy,not selected,Oakland,#N/A,94602
Alameda Health System,Highland Hospital Pharmacy,Pharmacy,not selected,Oakland,#N/A,94602
Alameda Health System,Highland Hospital Outpatient Pharmacy,Pharmacy,not selected,Oakland,#N/A,94602
Alameda Health System,Alameda Hospital Sterile Compounding Pharmacy,Pharmacy,not selected,Alameda,#N/A,94501
Alameda Health System,Alameda Hospital Pharmacy,Pharmacy,not selected,Alameda,#N/A,94501
Alameda Health System,San Leandro Hospital Sterile Compounding Pharmacy,Pharmacy,not selected,San Leandro,#N/A,94578
Alameda Health System,San Leandro Hospital Pharmacy,Pharmacy,not selected,San Leandro,#N/A,94578
Alameda Health System,Fairmont Hospital Pharmacy,Pharmacy,not selected,San Leandro,#N/A,94578
Alameda Health System,John George Psychiatric Pavilion Pharmacy,Pharmacy,not selected,San Leandro,#N/A,94578
Alameda Health System,Highland Hospital Substance Abuse Program,Ambulatory Care Settings,Substance use disorder treatment clinic,Oakland,#N/A,94602
Alan Schneider,none identified,not selected,not selected,Newport Beach,#N/A,92663
"Albion Medical Partners of California west, P.C.",none identified,Ancillary Care,Other ancillary care provider,Artesia,#N/A,90702-0275
"Alcoholism Center For Women, Inc.",none identified,Community-Based Organizations,Other community-based service provider,Los Angeles,#N/A,90006
Alden Terrace Convalescent Hospital,none identified,Acute Care Settings,Other acute care setting,Los Angeles,#N/A,90006
"Aleph Psychological Associates, dba The Clinic",none identified,Ambulatory Care Settings,Independent practice associations,San Francisco,#N/A,94117
Alex Harrison MD Inc.,none identified,Ambulatory Care Settings,Physician practice,Santa Maria,#N/A,93454
Alexander Valley Healthcare,none identified,Ambulatory Care Settings,Federally Qualified Health Center (FQHC),Cloverdale,#N/A,95425
"Algos, Inc. a Medical Corporation",Synovation Medical Group,Ancillary Care,Clinical laboratory,Pasadena,#N/A,91103
Alicia Surgery Center,none identified,Ambulatory Care Settings,Medical group,Laguna Hills,#N/A,92653
"Alisa L. Williams, MD, Inc",none identified,Ambulatory Care Settings,Independent practice associations,San Diego,#N/A,92120
All Care Living Home Inc,none identified,Subacute Care Facility,Skilled nursing facility,Sherman Oaks,#N/A,91401
"All Care Medical Group, Inc.",none identified,Intermediaries,Health Information Exchange Intermediary Organization (HIO),Downey,#N/A,90239
"All For Health, Health For All INC",none identified,Community-Based Organizations,Other community-based service provider,Glendale,#N/A,91205
"All Inclusive Medical Services, Inc.",none identified,Ambulatory Care Settings,Physician practice,Carmichael,#N/A,95608-0400
All United Medical Group IPA,none identified,Ambulatory Care Settings,Independent practice associations,Colton,#N/A,92324
"Alla Skalnyi MD, Inc.",none identified,Ambulatory Care Settings,Physician practice,Burlingame,#N/A,94010
Allcare Family,Allcare Family Clinic,Ambulatory Care Settings,Medical group,Norco,#N/A,92860
Allcare Family,Allcare Family Medical Group,Ambulatory Care Settings,Medical group,Buena Park,#N/A,90621
"Allergy and Asthma Specialist Doctors, Inc.",none identified,Ambulatory Care Settings,Physician practice,Glendale,#N/A,91202
Allergy and Asthma Treatment Center,none identified,Ambulatory Care Settings,Physician practice,Glendale,#N/A,91202
Alliance Medical Center,none identified,Ambulatory Care Settings,Federally Qualified Health Center (FQHC),HEALDSBURG,#N/A,95488
"Allied Health Solutions Medical Group, A Professional Corporation",none identified,Ambulatory Care Settings,Medical group,Inglewood,#N/A,90301
All-Inclusive Community Health Center,none identified,Ambulatory Care Settings,Federally Qualified Health Center (FQHC),Burbank,#N/A,91504
Almaden Health and Rehabilitation Center,none identified,Plans,Other plan,San Jose,#N/A,95124
Alpha J. Anders MD Inc.,none identified,Community-Based Organizations,Other community-based service provider,Bakersfield,#N/A,93303-2809
Alpine County Health Department,none identified,not selected,not selected,Markleeville,#N/A,96120
Alpine Orthopaedic Medical Group Inc,none identified,Ambulatory Care Settings,Physician practice,Stockton,#N/A,95204
"Alta Los Angeles Hospitals, Inc.",Los Angeles Community Hospital,Acute Care Settings,General acute care hospital,Los Angeles,#N/A,90023
"Alta Los Angeles Hospitals, Inc.",Norwalk Community Hospital,Acute Care Settings,General acute care hospital,Norwalk,#N/A,90650
"Alta Los Angeles Hospitals, Inc.",Los Angeles Community Hospital at Bellflower,Acute Care Settings,General acute care hospital,Bellflower,#N/A,90706
"Alta Newport Hospital, LLC",Foothill Regional Medical Center,Acute Care Settings,General acute care hospital,Tustin,#N/A,92780
"AltaMed Health Network, Inc.",none identified,Plans,Health care service plans and disability insurer,Montebello,#N/A,90640
AltaMed Health Services Corporation,none identified,Acute Care Settings,Other acute care setting,Los Angeles,#N/A,90024
Altura Centers for Health,none identified,Ambulatory Care Settings,Federally Qualified Health Center (FQHC),tulare,#N/A,93274
Alzheimer's Los Angeles,none identified,Community-Based Organizations,Continuum of Care organization (CoC),Los Angeles,#N/A,90010
Amalfi Hospice Care Inc,none identified,Community-Based Organizations,Other community-based service provider,San Bernardino,#N/A,92408
Ambry Genetics Corporation,none identified,Ancillary Care,Clinical laboratory,ALISO VIEJO,#N/A,92656
Ambulatory Surgery Access Coalition dba Operation Access,none identified,Community-Based Organizations,Other community-based service provider,San Francisco,#N/A,94108
AME MEDICAL GROUP,none identified,Ambulatory Care Settings,Urgent care,Downey,#N/A,902422306
American Bio-Clinical Laboratories,none identified,Ancillary Care,Clinical laboratory,Los Angeles,#N/A,90031
"American Choice Healthcare, LLC",none identified,Intermediaries,Other intermediary,Miami Lakes,#N/A,33016
American TrueCare,none identified,Community-Based Organizations,Other community-based service provider,San Diego,#N/A,92111
"AMG, A Professional Medical Corporation",none identified,Ambulatory Care Settings,Physician practice,Alhambra,#N/A,91801
Ampla Health,none identified,Community-Based Organizations,Other community-based service provider,Yuba City,#N/A,95991
AMVI Care Health Network,none identified,Ambulatory Care Settings,Independent practice associations,"Orange, CA 92868",#N/A,92868
AMVI Medical Group,AMVI Care Health Network,Ambulatory Care Settings,Independent practice associations,Orange,#N/A,92868
"Amy Tran, M.D.","Amy Tran, M.D.",Ambulatory Care Settings,Physician practice,Long Beach,#N/A,90808
"An Elegant Sufficiency, A Psychological Corporation",none identified,Ancillary Care,Other ancillary care provider,Tracy,#N/A,95376
Anabi Medical,none identified,Ambulatory Care Settings,not selected,Pomona,#N/A,91767
Anaheim Community Hospital,none identified,Acute Care Settings,General acute care hospital,Anaheim,#N/A,92804
Anaheim Global Medical Center,Anaheim Global Lab,Ancillary Care,Clinical laboratory,Santa Ana,#N/A,92704
Anderson Valley Health Center,none identified,Ambulatory Care Settings,Federally Qualified Health Center (FQHC),Boonville,#N/A,95415
Andre Yousefia MD Inc.,none identified,Emergency Medical Service Providers,not selected,Thousand Oaks,#N/A,91360
Andrew Imparato inc,none identified,Ambulatory Care Settings,not selected,Fullerton,#N/A,92835
"Anesthesia Provider Group, Inc.",none identified,Ambulatory Care Settings,Medical group,Pasadena,#N/A,91103
"Anesthesia Service Medical Group, Inc.",none identified,Ambulatory Care Settings,not selected,San Diego,#N/A,92123
"Anesthesia Specialists of Orange County, Inc",none identified,Acute Care Settings,General acute care hospital,Anaheim,#N/A,92801
Angel Care Hospice of Arcadia,none identified,Community-Based Organizations,Other community-based service provider,Arcadia,#N/A,91006
Angel Medical Group,none identified,Ambulatory Care Settings,Independent practice associations,Los Angeles,#N/A,90057
Angeles Del Sol ADHC,none identified,Community-Based Organizations,Other community-based service provider,Diamond Bar,#N/A,91792
"ANGELES IPA, A MEDICAL CORPORATION",none identified,Ambulatory Care Settings,Independent practice associations,Cypress,#N/A,90630-0063
Anil K Patel MD,none identified,Ambulatory Care Settings,Physician practice,Visalia,#N/A,93277
Anita Carmen Choy,none identified,Ambulatory Care Settings,not selected,Palo Alto,#N/A,94304
Anjali Chanana MD Inc.,none identified,Ambulatory Care Settings,Physician practice,Los Gatos,#N/A,95032
Anjali Gulati MD,none identified,Ambulatory Care Settings,Physician practice,San Jose,#N/A,95124
"Anjani Thakur, MD Inc.",none identified,Acute Care Settings,Other acute care setting,turlock,#N/A,95382
Antelope Valley Medical Center,none identified,Acute Care Settings,General acute care hospital,Lancaster,#N/A,93536
Anthem Blue Cross,none identified,Plans,Health care service plans and disability insurer,Woodland Hills,#N/A,91367
Anthem Blue Cross of CA,none identified,Plans,Other plan,Woodland Hills,#N/A,91367
Anthony G Sanzone MD,none identified,Ambulatory Care Settings,Physician practice,Chula Vista,#N/A,91914
"Anthony S. Pan, D.M.D., Inc.",none identified,Community-Based Organizations,Other community-based service provider,S. El Monte,#N/A,91733
Anti-Aging & Wellness Center,none identified,Ambulatory Care Settings,Physician practice,Bakersfield,#N/A,93309
ANTONIO A TAN MD PROFESSIONAL CORPORATION,none identified,Ambulatory Care Settings,Physician practice,MORENO VALLEY,#N/A,92553
Anu Chirala A Medical Corporation,none identified,Ambulatory Care Settings,Physician practice,Morgan Hill,#N/A,95037
"Anuradha Dubey, MD, Inc",none identified,Ambulatory Care Settings,Physician practice,Modesto,#N/A,95356
AOCL LLC,none identified,Subacute Care Facility,Skilled nursing facility,Oroville,#N/A,95966
Aparna Sharma,Radiant Pediatrics,Ambulatory Care Settings,Physician practice,Apple Valley,#N/A,92307
Apex Dermatology,none identified,Ambulatory Care Settings,not selected,Westlake Village,#N/A,91361
Apex Health Care Services,none identified,Ambulatory Care Settings,Physician practice,Bellflower,#N/A,90706
APLA Health & Wellness,none identified,Ambulatory Care Settings,Federally Qualified Health Center (FQHC),Los Angeles,#N/A,90005
"Apollo Medical Holdings, Inc.",none identified,Ambulatory Care Settings,Independent practice associations,Alhambra,#N/A,91801
Apple Valley Post-Acute Rehab,none identified,Subacute Care Facility,Skilled nursing facility,Sebastopol,#N/A,95472
"AppleCare Hospitalists Medical Group, Inc.",none identified,Ambulatory Care Settings,Medical group,La Palma,#N/A,90623
"AppleCare Medical Group St Francis, Inc.",none identified,Ambulatory Care Settings,Medical group,La Palma,#N/A,90623
"AppleCare Medical Group, Inc.",none identified,Ambulatory Care Settings,Medical group,La Palma,#N/A,90623
Applewood Operating Company LLD,none identified,Subacute Care Facility,Skilled nursing facility,Redding,#N/A,96002
Applied Research Works,none identified,Intermediaries,Other intermediary,Fremont,#N/A,94538
Ararat Convalescent Hospital,none identified,Subacute Care Facility,Skilled nursing facility,Los Angeles,#N/A,90041
Ararat Nursing Facility,none identified,Subacute Care Facility,Skilled nursing facility,Mission Hills,#N/A,91345
Area 12 Agency on Aging,none identified,Community-Based Organizations,Other community-based service provider,Sonora,#N/A,95370
Area 4 Agency on Aging,none identified,Community-Based Organizations,Other community-based service provider,Sacramento,#N/A,95815
Argent Medical Group Inc,none identified,Ambulatory Care Settings,Physician practice,Carson,#N/A,90745
arleta urgentcare and family clinic,none identified,Ambulatory Care Settings,Physician practice,arleta,#N/A,91331
Arlington Physicians Choice,none identified,Ambulatory Care Settings,Physician practice,Riverside,#N/A,92503
ARNOLD J BLUSTEIN,none identified,Ambulatory Care Settings,not selected,San Leandro,#N/A,94577
Arrae Health,none identified,Ambulatory Care Settings,Physician practice,Corona,#N/A,92879
Arrowhead Family Medical Group Inc,none identified,Ambulatory Care Settings,Faculty practice,Redlands,#N/A,92375
Arroyo Vista Family Health Center,none identified,Community-Based Organizations,Continuum of Care organization (CoC),Los Angeles,#N/A,90042
"Arta Western California, Inc.",none identified,Ambulatory Care Settings,Medical group,El Segundo,#N/A,90245
Artesia Christian Home,none identified,Subacute Care Facility,Skilled nursing facility,Artesia,#N/A,90701
Arthur Kowell,none identified,Ambulatory Care Settings,not selected,Encino,#N/A,91436
"Arti Pediatrics, Inc.",none identified,Ambulatory Care Settings,Physician practice,Sunnyvale,#N/A,94087
Arun Villivalam MD,none identified,Ambulatory Care Settings,Physician practice,Los Gatos,#N/A,95032
"ARUP Laboratories, Inc.",ARUP Laboratories at University Hospital,Ancillary Care,Clinical laboratory,Salt Lake,#N/A,84108
"ARUP Laboratories, Inc.",ARUP Laboratories at Huntsman,Ancillary Care,Clinical laboratory,Salt Lake,#N/A,84108
"Arvind Salwan, MD PC",none identified,Ambulatory Care Settings,Physician practice,Hesperia,#N/A,92345
Ascencia,none identified,Community-Based Organizations,Other community-based service provider,Glendale,#N/A,91204-2900
Asian Americans for Community Involvement of Santa Clara County Inc.,none identified,Community-Based Organizations,Continuum of Care organization (CoC),San Jose,#N/A,95120
"Asian Community Medical Group, Inc. dba Associated Dignity Medical Group, Inc.",none identified,Ambulatory Care Settings,Medical group,Cypress,#N/A,90630-0063
Asian Health Services,none identified,Ambulatory Care Settings,Federally Qualified Health Center (FQHC),Oakland,#N/A,94607
Asian HealthLink,none identified,Ambulatory Care Settings,Medical group,Fremont,#N/A,94538-1724
"Asian Pacific Health Care Venture, Inc.",none identified,Ambulatory Care Settings,Federally Qualified Health Center (FQHC),Los Angeles,#N/A,90029
